agent,backup_type,seed,episode,train_return,eval_return,avg_max_q,episode_length,eval_length,loss,mellowmax_omega
DQN,dqn,0,1,-168.88990295436895,,0.08103009544450927,108,,,
DQN,dqn,0,2,-96.82296748547297,,0.08756487925847371,75,,,
DQN,dqn,0,3,-149.67881767275748,,0.08701957900948981,94,,,
DQN,dqn,0,4,-287.0894199025323,,0.06587415542907832,123,,,
DQN,dqn,0,5,-130.58817719589157,,0.0723442536905224,81,,,
DQN,dqn,0,6,-241.43499085473914,,0.0660588566500407,117,,,
DQN,dqn,0,7,-192.15855507427926,,0.06842790121462808,67,,,
DQN,dqn,0,8,-108.0774580100515,,0.07343313532031101,115,,,
DQN,dqn,0,9,-122.52932583379904,,0.0759142738287196,66,,,
DQN,dqn,0,10,-123.87379724730185,-518.8842595593608,0.06913040166622714,76,72.2,,
DQN,dqn,0,11,-291.2957239914718,,0.07328083896881914,73,,,
DQN,dqn,0,12,-282.6256508866502,,0.0690075041709748,113,,,
DQN,dqn,0,13,-249.08423050470975,,0.07146584990966533,112,,,
DQN,dqn,0,14,-213.3647140581589,,0.08025126144677014,77,,,
DQN,dqn,0,15,-121.42316189278135,,0.08012152170716239,121,,,
DQN,dqn,0,16,-248.0432005821691,,0.07169662547462127,102,,,
DQN,dqn,0,17,-46.189680886042616,,0.07006858088649236,65,,,
DQN,dqn,0,18,-212.72065265059942,,0.06662574318582065,73,,,
DQN,dqn,0,19,-264.7535237455548,,0.07454986821698106,69,,,
DQN,dqn,0,20,-140.348763465852,-518.8842595593608,0.07572988291149554,69,72.2,,
DQN,dqn,0,21,-106.67443258080633,,0.09954051616723122,92,,,
DQN,dqn,0,22,-109.33393703783022,,0.06763367294225582,86,,,
DQN,dqn,0,23,-120.72338595346093,,0.7799858174557928,79,,2.078324317932129,
DQN,dqn,0,24,-446.08334624952994,,1.8072175056819457,83,,1.6435704374887856,
DQN,dqn,0,25,-286.2081333251604,,1.1063915491104126,141,,1.4427312517419775,
DQN,dqn,0,26,-59.85623163642596,,1.7676815734628368,136,,1.3233974337139551,
DQN,dqn,0,27,-208.3356132753285,,-0.3954510303418629,123,,1.2943969694821815,
DQN,dqn,0,28,-169.60668276303534,,1.2160789510387866,122,,1.1493808818889446,
DQN,dqn,0,29,-209.32525287374375,,-0.07912932821873868,89,,1.1759623230508205,
DQN,dqn,0,30,-2.9065507909985797,-483.23368280406555,-0.17310512880993706,117,285.4,1.1194481600680921,
DQN,dqn,0,31,-80.29770352814785,,1.7406900389410487,109,,1.229780516903335,
DQN,dqn,0,32,-183.77819567927872,,-1.1263303002672838,141,,1.459376057200398,
DQN,dqn,0,33,-64.45102030003274,,1.9839259240213993,106,,1.2302764527640253,
DQN,dqn,0,34,-61.7789870649417,,3.1952358332613633,74,,1.1847253530412107,
DQN,dqn,0,35,-76.92282762413791,,2.490289191347222,86,,1.254271456495274,
DQN,dqn,0,36,-86.80780421692165,,1.9816306622677975,89,,1.1925165514262874,
DQN,dqn,0,37,-98.23375722913731,,1.4566436992751228,90,,1.1672645462883844,
DQN,dqn,0,38,-302.754586684239,,-0.5269275557077089,151,,1.105838666491161,
DQN,dqn,0,39,-101.74630501389576,,3.690257015435592,69,,1.1826813449894173,
DQN,dqn,0,40,-143.55053589418628,-161.10760351893583,2.8524746396962333,85,677.0,1.1395093269207899,
DQN,dqn,0,41,-251.6121368984694,,-1.5485999628640057,114,,1.0987722450181057,
DQN,dqn,0,42,16.80065323177746,,-0.45919894496047936,81,,1.2396420935789745,
DQN,dqn,0,43,-52.94749324743637,,6.06806725679442,86,,1.2569442037926164,
DQN,dqn,0,44,-390.4542571408112,,-4.41698593156996,134,,1.1316487887012425,
DQN,dqn,0,45,-1.7168183145809337,,1.4399601404971265,141,,1.0537559981887221,
DQN,dqn,0,46,-217.27451046944492,,0.480951534672862,105,,1.1842837413152059,
DQN,dqn,0,47,-173.45754843337858,,0.8846524169202894,96,,1.0911883402926226,
DQN,dqn,0,48,-26.757909877619866,,6.967641744348738,72,,1.1098013400203652,
DQN,dqn,0,49,-234.285051355868,,-1.1167876720864174,171,,1.0455350316407388,
DQN,dqn,0,50,-25.843269333937243,-146.30137645173824,5.219680710750468,136,852.2,0.9997187793693122,
DQN,dqn,0,51,-118.83714217676786,,3.9066433209547964,138,,1.185721806102041,
DQN,dqn,0,52,-106.71480503783432,,4.562204753640313,159,,1.0284260443921358,
DQN,dqn,0,53,34.07963539194819,,-10.7078886632137,1000,,1.2034265743643044,
DQN,dqn,0,54,-87.35611587988195,,6.615645127991836,96,,1.242449922176699,
DQN,dqn,0,55,-5.199045932973405,,4.50259464090621,135,,1.2713369612340575,
DQN,dqn,0,56,-76.62333724093416,,4.889289581997795,161,,1.3043090634464478,
DQN,dqn,0,57,-159.9755558798036,,4.853685429534026,113,,1.2656834821785445,
DQN,dqn,0,58,-99.89143847985713,,4.598184670496704,133,,1.3066899159124918,
DQN,dqn,0,59,-296.0730170349216,,-2.9356440288984045,147,,1.3161032858754502,
DQN,dqn,0,60,-60.92607399633161,-151.69594822300706,7.533205923934777,99,1000.0,1.2734496768074806,
DQN,dqn,0,61,-99.00335208144095,,5.838624047700848,140,,1.2258318028279713,
DQN,dqn,0,62,-39.793008085438814,,2.7654434667470364,156,,1.2359490449994037,
DQN,dqn,0,63,-275.7989326726805,,-3.828912416902872,130,,1.2336649543963947,
DQN,dqn,0,64,-80.28160748236508,,8.732530949162502,153,,1.2617296362234875,
DQN,dqn,0,65,-84.21885241135337,,7.138359303032602,143,,1.183120344693844,
DQN,dqn,0,66,-126.85175777451758,,6.190552453547716,100,,1.1832424230873584,
DQN,dqn,0,67,-61.92539778106989,,7.249817928219194,93,,1.3955873824575895,
DQN,dqn,0,68,-50.30885908381163,,7.528841310077244,126,,1.2977553513788043,
DQN,dqn,0,69,-119.73651920856146,,4.467524373340301,195,,1.2068663416764676,
DQN,dqn,0,70,-44.02002288684467,-140.342015087422,7.325922029599165,195,1000.0,1.249761649278494,
DQN,dqn,0,71,-160.18768904749817,,4.004991263324438,129,,1.2412456412648045,
DQN,dqn,0,72,-196.65088794458802,,2.8934348487854002,100,,1.1784917572140694,
DQN,dqn,0,73,-35.12039656440376,,9.358720188078127,76,,1.2949281178022687,
DQN,dqn,0,74,-31.464837242388086,,9.955321892239581,174,,1.2105800023880497,
DQN,dqn,0,75,-72.76100708814273,,10.843823917149528,123,,1.1451907715177148,
DQN,dqn,0,76,-85.79900778850202,,8.897874115083528,115,,1.098528585874516,
DQN,dqn,0,77,-86.67654598512148,,10.58499009067362,165,,1.1747338152293003,
DQN,dqn,0,78,-40.61029688674071,,10.483529673314388,162,,1.1376661157902377,
DQN,dqn,0,79,-2.3575629908013838,,13.236976857565663,163,,1.0428955465372354,
DQN,dqn,0,80,-60.6889137661366,-199.0811306004317,10.284792304312417,109,982.4,1.147518522695664,
DQN,dqn,0,81,-42.49389513500809,,9.39509256521062,199,,1.1944138669787938,
DQN,dqn,0,82,-62.140532892472805,,10.388450855525528,123,,1.150071038947842,
DQN,dqn,0,83,-78.38462653249859,,10.808108238623507,124,,1.1668871391204096,
DQN,dqn,0,84,-29.570558776480183,,13.06822494579398,92,,1.1879308460199314,
DQN,dqn,0,85,-38.721397684469096,,8.190697594903982,156,,1.0478435716567895,
DQN,dqn,0,86,-58.10838158987859,,8.38297142301287,133,,1.0865960273527562,
DQN,dqn,0,87,-54.827336755128876,,8.449285535162755,178,,1.1578091729557916,
DQN,dqn,0,88,-90.13712457780359,,10.42298378723283,124,,1.166128947369514,
DQN,dqn,0,89,-5.1225553403028385,,19.029217811112993,89,,1.1262150467111822,
DQN,dqn,0,90,-73.39996509985988,-363.96965646959427,16.518759674317128,74,862.4,1.1356164519045804,
DQN,dqn,0,91,-96.80781237321682,,12.110546346415173,88,,1.103955445980484,
DQN,dqn,0,92,-45.03390588788194,,12.359060749094537,94,,1.1700832815246378,
DQN,dqn,0,93,-35.03047402134749,,11.225890915517862,173,,1.1339299978548392,
DQN,dqn,0,94,-199.7270467341911,,-5.770605263658441,104,,1.0899761909475694,
DQN,dqn,0,95,-121.20525038372095,,12.61657500050962,100,,1.1380014583468436,
DQN,dqn,0,96,-67.54979236370174,,12.584032250146796,137,,1.122863046009175,
DQN,dqn,0,97,-64.752037422004,,11.92094769784146,216,,1.1358314870546262,
DQN,dqn,0,98,-44.0654665719007,,18.82810096144676,80,,1.11661791279912,
DQN,dqn,0,99,-38.13543080852622,,13.901847663289267,141,,1.094972588808824,
DQN,dqn,0,100,-67.80227605742446,-188.6455232184509,14.855109868778122,189,973.0,1.137116868738775,
DQN,dqn,0,101,-49.36446800620782,,9.079131013443392,124,,1.0568417435692203,
DQN,dqn,0,102,-59.40913118991056,,11.908295668413242,120,,1.0810537313421567,
DQN,dqn,0,103,-32.17574175786059,,17.04596931242113,158,,1.045719572826277,
DQN,dqn,0,104,-62.33467187880095,,14.993265947874855,136,,1.1704445367350298,
DQN,dqn,0,105,-32.04994652379973,,16.119471640739224,133,,1.1628524531099134,
DQN,dqn,0,106,-60.204677726906795,,16.53617573728656,101,,1.1318240215872775,
DQN,dqn,0,107,-66.43885569834696,,17.30698275024241,88,,1.1003721830519764,
DQN,dqn,0,108,-73.8835792331592,,10.237078552772552,197,,1.0985394159549384,
DQN,dqn,0,109,-3.364518036574964,,14.835325841685288,262,,1.0838347178606587,
DQN,dqn,0,110,-35.71330222865217,-177.21836619482204,14.019857120333295,132,1000.0,1.0546589292811626,
DQN,dqn,0,111,-60.707734198319784,,14.790603091967279,138,,1.0505732712538347,
DQN,dqn,0,112,-57.8842316972665,,21.445280996958413,75,,1.0991517329216003,
DQN,dqn,0,113,-21.935961851568507,,17.833209725430137,95,,1.0689903121245534,
DQN,dqn,0,114,-45.57670335536337,,13.910539783398557,161,,1.0391815804546665,
DQN,dqn,0,115,-93.63776665792378,,16.900640501976014,75,,1.0426519020398457,
DQN,dqn,0,116,53.711522497564005,,11.242868752068308,229,,1.045201676511348,
DQN,dqn,0,117,-26.498125566687776,,11.948642165496432,232,,1.018581798749751,
DQN,dqn,0,118,-29.568713430908474,,14.191439447602676,191,,1.202961167895981,
DQN,dqn,0,119,-89.34028519070002,,15.077863012304467,89,,1.1142919341499886,
DQN,dqn,0,120,-28.79129379701446,-165.7500826034692,16.215649987805275,155,589.6,1.11981422612744,
DQN,dqn,0,121,-48.88490280652878,,17.753591063571726,127,,1.0431495644445494,
DQN,dqn,0,122,6.2725458040752216,,11.641070420511916,316,,1.0672925295709055,
DQN,dqn,0,123,-59.37447175353787,,19.797427679510676,85,,1.1248384626472698,
DQN,dqn,0,124,47.31562820237161,,19.741917941930158,106,,1.1771171022698563,
DQN,dqn,0,125,-93.16410632180406,,9.756043623133403,164,,1.1595859605728127,
DQN,dqn,0,126,-8.613375213702597,,13.869636702991317,243,,1.1457738122086467,
DQN,dqn,0,127,-18.565893867897387,,12.599097345346285,324,,1.098336933111703,
DQN,dqn,0,128,-18.0849212323066,,18.8810915855261,130,,1.0492520827513474,
DQN,dqn,0,129,-77.19361639994187,,18.133521189806107,174,,1.1507954352546013,
DQN,dqn,0,130,-25.248327651388024,-220.25263676147287,13.490706201663798,177,372.2,1.1198066107634097,
DQN,dqn,0,131,9.382797856858488,,7.60033013384606,244,,1.101703596041828,
DQN,dqn,0,132,30.583430539743745,,16.183880489961854,116,,1.106523867824982,
DQN,dqn,0,133,-32.574743078774176,,9.359739768017944,520,,1.0993888292175074,
DQN,dqn,0,134,-7.378115122770652,,18.601263889871493,163,,1.1105321077115697,
DQN,dqn,0,135,-11.122565030250655,,28.05802590470565,95,,1.103288387624841,
DQN,dqn,0,136,-31.498659229718342,,14.494059878663203,153,,1.0825185469942156,
DQN,dqn,0,137,-80.34615500004651,,14.922468001267006,145,,1.154044239685453,
DQN,dqn,0,138,13.460318307803377,,23.273386105558927,133,,1.0871548654889702,
DQN,dqn,0,139,-8.683568941480559,,20.490036936853663,173,,1.1608756348232314,
DQN,dqn,0,140,-4.79041186493329,-168.99987401142306,17.490490991736085,229,295.8,1.2752082781239888,
DQN,dqn,0,141,-118.15254325580928,,16.974477526367895,151,,1.1098510561794634,
DQN,dqn,0,142,-13.266956361895978,,19.791961712762713,256,,1.1932517134118825,
DQN,dqn,0,143,-114.41749695237257,,9.137872623006228,722,,1.2072003077602123,
DQN,dqn,0,144,3.7860581353335334,,18.56424235683654,233,,1.1690365898506836,
DQN,dqn,0,145,-108.42498540231598,,11.112649406101687,141,,1.2333348118667062,
DQN,dqn,0,146,-12.168100153024994,,33.34428162641928,71,,1.1256912925713498,
DQN,dqn,0,147,15.175852382289307,,26.11326679674167,103,,1.197867413168972,
DQN,dqn,0,148,-98.40038805633604,,15.326316496022313,139,,1.2107120284931265,
DQN,dqn,0,149,19.490191589654145,,33.404328154128734,103,,1.2228033424002454,
DQN,dqn,0,150,-60.09846571439425,-175.11400977429656,13.010973996975842,510,294.6,1.230823123980971,
DQN,dqn,0,151,-92.34790380844963,,6.158270059291616,337,,1.2164933319792195,
DQN,dqn,0,152,-115.00025054451231,,9.541170760101659,319,,1.254000769606952,
DQN,dqn,0,153,-62.47320442507508,,3.012055051628895,217,,1.225907099961136,
DQN,dqn,0,154,-100.04096279503521,,10.257110442212023,163,,1.2126163999361494,
DQN,dqn,0,155,8.666474659028387,,-20.075179893976077,1000,,1.2810027209818364,
DQN,dqn,0,156,-103.83413530199918,,14.19464070411553,133,,1.2575955104110832,
DQN,dqn,0,157,-58.050186583832215,,13.174461958780885,1000,,1.365111810863018,
DQN,dqn,0,158,-46.88802022025237,,25.632956211463267,115,,1.3481972906900488,
DQN,dqn,0,159,-8.161550949939638,,23.042143176517214,211,,1.3822612789287387,
DQN,dqn,0,160,4.85890560843437,-146.39835028934786,12.505814808279275,1000,323.6,1.3950253202319145,
DQN,dqn,0,161,54.61714663593708,,14.225756876071914,1000,,1.416736505419016,
DQN,dqn,0,162,-16.11176853901189,,27.24258506810007,163,,1.374947909197193,
DQN,dqn,0,163,44.38765759215434,,37.879214242748596,92,,1.401526712205099,
DQN,dqn,0,164,-33.897262455920426,,16.54190005691428,95,,1.434340446873715,
DQN,dqn,0,165,-39.99957494836174,,21.544590373967317,149,,1.3070167783122735,
DQN,dqn,0,166,-62.356828457485676,,-6.349361461631219,233,,1.4026292527949862,
DQN,dqn,0,167,-26.09333958594341,,23.219518318450707,139,,1.5282216080658728,
DQN,dqn,0,168,-45.614795141763906,,13.609818127661944,1000,,1.4387793583273887,
DQN,dqn,0,169,4.556973061704753,,30.667214156937426,137,,1.5379475831550404,
DQN,dqn,0,170,9.867676831235393,-137.61360065484814,4.805138738438487,1000,623.2,1.4785922529399396,
DQN,dqn,0,171,-24.182539509517454,,31.279578267311564,98,,1.6060503757729823,
DQN,dqn,0,172,3.3611429628042515,,37.197182298675784,123,,1.5838721055325453,
DQN,dqn,0,173,31.53878746869275,,14.620367650009692,1000,,1.5881657259464264,
DQN,dqn,0,174,-29.59807815669143,,14.371330512106418,1000,,1.5820958435833454,
DQN,dqn,0,175,25.118326214689407,,14.499334166027605,1000,,1.6037011933326721,
DQN,dqn,0,176,-35.95130580858154,,14.834090837772935,1000,,1.5433789164721965,
DQN,dqn,0,177,7.948883022458801,,31.685015341814825,170,,1.5724035301629236,
DQN,dqn,0,178,-65.44700700926214,,38.23485334988298,87,,1.7638324560790226,
DQN,dqn,0,179,-27.97617489554018,,-10.268400798548944,1000,,1.5894099931716918,
DQN,dqn,0,180,-54.44216308118064,0.633988632472979,19.873452698356576,90,1000.0,1.7113511515988244,
DQN,dqn,0,181,111.3640876353547,,12.799920352488757,1000,,1.599228689044714,
DQN,dqn,0,182,55.753203186517595,,11.70920947888121,1000,,1.606900543063879,
DQN,dqn,0,183,117.42754373036945,,11.384888660589233,1000,,1.617946896880865,
DQN,dqn,0,184,53.69585637857695,,9.27227706465125,1000,,1.5468907748758793,
DQN,dqn,0,185,13.093965541522223,,47.264251008514286,129,,1.586059853088024,
